sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
3420,33.3984375,-6.523034927,4.98650913,8.071967382,-8.109680921,75.70981509,-25.3762364
3421,33.40820313,-6.492960564,4.945458105,8.209757928,-5.611281423,85.44744547,-31.3750033
3422,33.41796875,-6.490523139,5.578658996,7.798308054,0.810570729,94.75972505,-36.67652074
3423,33.42773438,-6.244725305,6.478449783,7.845189356,2.65055919,104.2768416,-45.20866127
3424,33.4375,-6.215724753,5.691881655,8.378273396,-3.850934165,116.6877055,-53.95865761
3425,33.44726563,-6.079854099,4.906234133,8.909059742,-6.448220214,131.2958915,-58.11601433
3426,33.45703125,-6.152132649,4.355259617,9.11094847,-7.92355898,149.7679375,-58.67624415
3427,33.46679688,-6.216277379,4.721661886,9.486454868,-6.519406755,172.0086796,-59.70208318
3428,33.4765625,-5.825341389,5.411470721,10.37096733,-3.6384397,189.4540404,-63.94480716
3429,33.48632813,-4.705541245,5.978791336,12.51121801,-7.693525426,217.937425,-66.08737564
3430,33.49609375,-3.879005278,4.167950297,14.70151424,-15.24934371,261.6589731,-75.16572945
3431,33.50585938,-3.539884514,1.147577711,17.26490152,-12.61358759,307.0293526,-84.6178108
3432,33.515625,-5.85288258,1.141245347,16.50627166,24.02100225,357.4070092,-86.22845473
3433,33.52539063,-14.89296082,5.748226071,14.39075876,68.51887737,418.5842873,-93.25141575
3434,33.53515625,-18.23635176,2.3747354,16.49288069,68.20712071,464.2310871,-109.009895
3435,33.54492188,-16.66128204,1.421354968,15.61152959,84.87023416,513.7589882,-110.4176523
3436,33.5546875,-17.34348935,1.130308102,10.91335049,99.00143053,557.4447749,-97.17689312
3437,33.56445313,-19.63349522,2.149192117,6.453535311,152.5038226,593.8501901,-77.83710022
3438,33.57421875,-23.79947968,-4.262279221,12.05478716,212.5390787,594.0633919,-72.03766907
3439,33.58398438,-28.84891702,2.733624912,13.86544954,279.2254649,590.7138474,-63.81061002
3440,33.59375,-17.17915545,6.561294102,11.99936105,297.3487274,529.3997804,-79.78463244
3441,33.60351563,-23.48797383,1.650206806,6.667749891,199.3151934,356.6996979,-74.53489637
3442,33.61328125,-57.21487813,20.8265273,11.99225673,169.7025682,86.60269249,-71.30805686
3443,33.62304688,-35.17806518,8.70982859,17.9871937,73.08374797,-162.2728863,-80.38089554
3444,33.6328125,-11.35443474,-0.599144098,17.28918121,38.18733051,-302.4873663,-67.78473783
3445,33.64257813,3.224174097,0.746496532,16.33415949,67.7784466,-380.011133,-39.77238419
3446,33.65234375,8.767731829,5.614111353,14.52786362,89.71993311,-394.9895261,-18.6143156
3447,33.66210938,7.416819424,10.54807011,10.91765896,72.58928567,-374.0473968,-11.41195633
3448,33.671875,4.326780847,9.764132468,8.674986145,20.27667057,-340.9783279,-3.361155449
3449,33.68164063,4.978513057,10.00383044,7.459938489,-28.48575331,-341.5164857,33.89300977
3450,33.69140625,4.750005853,9.517229697,6.89844559,-74.76111129,-334.876711,78.83427343
3451,33.70117188,3.739589617,8.690149091,6.285601974,-110.7687889,-318.29285,126.2687123
3452,33.7109375,3.429375873,8.130588566,5.82013439,-131.6237596,-311.3145417,162.2118636
3453,33.72070313,1.937690558,7.436736925,5.373498063,-150.1030034,-296.8934164,199.6736227
3454,33.73046875,-0.408064049,7.105847828,5.021210145,-156.5112699,-290.8407594,224.5221729
3455,33.74023438,-2.03736304,7.056568651,4.985763653,-159.1193281,-292.894659,237.8263264
3456,33.75,-3.590864241,5.756602926,5.041849035,-163.8777998,-295.0591325,238.596303
3457,33.75976563,-3.590121433,6.459011363,5.423452555,-152.9011182,-303.7673796,231.5899352
3458,33.76953125,-5.697198972,5.324267577,6.109489121,-156.5496408,-306.2212096,219.4100441
3459,33.77929688,-5.96427172,5.423419132,6.804927553,-145.985059,-314.5356697,205.3087626
3460,33.7890625,-7.402704284,5.206547469,7.535378533,-140.7829022,-312.8828536,193.6204396
3461,33.79882813,-9.758103838,5.265081612,8.4730774,-129.4542927,-317.1160539,180.0924707
3462,33.80859375,-11.76569362,5.768110121,8.84142638,-119.7867103,-327.2130287,166.1654479
3463,33.81835938,-12.87277257,5.845285385,10.0720627,-113.9765994,-337.5956125,150.2435859
3464,33.828125,-13.71865573,5.911598328,12.07194622,-107.15719,-344.6190245,134.647032
3465,33.83789063,-16.34754346,6.771897474,13.29666943,-102.2741247,-349.9514089,117.3808239
3466,33.84765625,-19.6543164,8.045519326,13.01342473,-96.57950533,-359.5344405,96.21763504
3467,33.85742188,-21.01963534,9.96886072,11.10062794,-93.91632982,-378.2759561,73.58819229
3468,33.8671875,-21.2301974,11.84760039,9.602490952,-91.38221205,-394.5598671,48.99260367
3469,33.87695313,-23.60056456,11.75128253,8.685626937,-98.15477909,-387.401559,37.01515311
3470,33.88671875,-28.33764988,9.917224279,6.007146861,-94.37286445,-368.7100431,31.79437653
3471,33.89648438,-28.82992359,6.137264585,3.044008025,-63.23157722,-359.7583946,40.9919944
3472,33.90625,-25.62689205,2.22285386,0.282705281,-30.36672014,-337.8980979,64.80181663
3473,33.91601563,-23.76496014,-0.297104677,-0.619602831,4.163062538,-312.1650262,92.27327463
3474,33.92578125,-25.76668396,-0.489000971,-3.644492711,40.32624247,-241.8974272,98.93392992
3475,33.93554688,-28.87580752,1.365656754,-9.488153048,42.70539734,-155.4112487,89.31506176
3476,33.9453125,-34.83097211,5.926464465,-19.09933637,-11.9009126,-57.93106963,59.02280902
3477,33.95507813,-34.61719756,6.633945732,-24.89153698,-72.747414,-26.63273773,16.31574721
3478,33.96484375,-28.89599004,-2.708282247,-24.47081149,-118.6472919,-4.525712395,-59.53484823
3479,33.97460938,-26.80044486,-12.08231627,-21.03359123,-63.20128967,41.43274244,-108.9961041
3480,33.984375,-24.94705705,-11.34454326,-11.07934975,18.61989993,60.21068363,-119.8611279
3481,33.99414063,-23.93940251,-5.586635346,-4.258279158,57.25913944,115.7369864,-108.3656291
3482,34.00390625,-16.28723581,-3.282001291,3.419991173,162.4896596,121.4322135,-114.6526308
3483,34.01367188,9.566266093,-1.13852271,24.07943018,187.2035487,45.0455996,-96.16139234
3484,34.0234375,8.516565505,8.110243302,27.91410587,189.9005451,127.4345077,-103.7571581
3485,34.03320313,14.25545,17.4851152,16.98847499,162.7157255,98.08341468,-146.0703675
3486,34.04296875,0.067969486,48.08962625,-2.020286141,137.3061826,173.7515008,-144.0871301
3487,34.05273438,-19.49642084,32.28847147,-7.250481749,58.56671991,417.2104394,-232.6614133
3488,34.0625,-43.37129212,25.36291267,7.995428577,-72.16808266,480.3850219,-185.5516096
3489,34.07226563,-27.57183925,10.42915117,12.04425559,-63.77585137,200.0848286,-75.56745281
3490,34.08203125,-0.180186622,-27.26505432,17.52816676,-70.07882013,65.30660458,-71.38018418
3491,34.09179688,-20.20553245,-9.393741287,11.33234732,-25.44788448,207.6341017,-65.53584178
3492,34.1015625,-17.03578278,17.30551897,2.590451228,18.95686749,139.8052114,-10.82597312
3493,34.11132813,-4.847848434,10.76999327,5.250134634,-2.09719337,59.76088045,-3.192984425
3494,34.12109375,-7.210126373,-3.813857179,10.01458954,-15.06974776,55.29270869,-27.14857661
3495,34.13085938,-11.61227353,-3.196445131,8.682758928,-3.42349714,66.00668306,-21.31446856
3496,34.140625,-6.926038786,8.941822523,6.804236056,13.905811,40.98489601,7.619408021
3497,34.15039063,-6.558996448,3.916692131,7.187460374,8.762889075,36.34497738,-6.796544416
3498,34.16015625,-7.088978953,1.042331452,7.815263322,0.742881137,37.06834738,-12.4488749
3499,34.16992188,-6.680173378,3.294675513,7.638638537,6.239122302,32.97297906,-3.736815535
3500,34.1796875,-7.110947456,3.878849739,7.423768625,5.763506231,30.81030869,-1.896127315
3501,34.18945313,-6.687719281,4.764230829,7.648002033,3.668613495,27.24662453,-2.042658441
3502,34.19921875,-6.516822612,4.255337516,7.655689392,0.116525979,26.5542518,-5.024357514
3503,34.20898438,-6.887406197,3.655959059,7.403375966,-2.653369339,26.23665335,-7.692292981
3504,34.21875,-6.752877901,3.55854008,7.370455834,-2.397248063,22.75916389,-6.592678418
3505,34.22851563,-6.633067553,3.196089279,7.454752138,-3.417771621,21.45679028,-6.108942809
3506,34.23828125,-6.573402387,2.977837158,7.460061288,-3.961149404,21.06520397,-4.879328037
3507,34.24804688,-6.560777183,3.073231087,7.509651786,-3.53927988,21.00521019,-4.383862174
3508,34.2578125,-6.638777781,3.064765911,7.361227026,-1.304751436,20.7446348,-4.620042315
3509,34.26757813,-6.520167432,3.048800871,7.349912683,-0.208622497,18.57049536,-4.313529332
3510,34.27734375,-6.533128177,3.182783943,7.341955305,0.273155785,18.82413389,-4.433549078
3511,34.28710938,-6.621655484,3.102766699,7.313159322,1.119142967,18.72275854,-4.799685851
3512,34.296875,-6.472304892,2.627598038,7.487451106,2.45159976,17.206722,-3.379279149
3513,34.30664063,-6.327219317,2.154898372,7.506036856,6.011537146,16.63630866,-1.450633656
